question	answer	description 
ギリシャ神話で火を盗み人間に与えた神の名前は何？	プロメテウス	ティタン神で、人間に火を与えたことでゼウスの怒りを買いました。 
オリンピックの五輪マークは何色の輪で構成されていますか？	青、黒、赤、黄、緑	世界の主要地域を象徴しています。 
地球の内部は、外核、内核、マントル、あと一つは何？	地殻	地球の最外層に位置し、人間が住む土地を形成しています。 
最も短い英単語の一つは何？	I	単数の一人称を指し、英語の中で最も短い単語の一つです。 
日本の祝日で「建国記念の日」は何月何日？	2月11日	日本の建国を祝う日で、紀元前660年の神武天皇即位の日とされています。 
最初にノーベル平和賞を受賞した国際組織の名前は何？	赤十字国際委員会	ノーベル平和賞の第1回受賞者で、人道支援活動で知られています。 
元素周期表で第1周期に属する元素を2つ挙げてください。	水素とヘリウム	宇宙で最も軽い元素とされています。 
世界で最も深い海溝は何？	マリアナ海溝	太平洋に位置し、最深部は約11,000メートルのチャレンジャー海淵です。 
イギリスの首都ロンドンにある有名な時計塔の名前は何？	ビッグベン	ロンドンのウェストミンスター宮殿にある時計塔です。 
日本の都道府県の中で最も人口が少ないのはどこ？	鳥取県	日本の中で最も人口が少なく、砂丘でも有名です。 
『ロミオとジュリエット』を書いた劇作家は誰？	ウィリアム・シェイクスピア	シェイクスピアの名作で、悲恋を描いた物語です。 
地球の衛星は何と呼ばれていますか？	月	地球の潮の満ち引きを引き起こす役割を担っています。 
アフリカ大陸で最も広い国はどこ？	アルジェリア	アフリカで最も大きな国で、北アフリカに位置しています。 
オペラ『魔笛』を作曲した作曲家の名前は何？	モーツァルト	寓意的な物語と美しい音楽で知られています。 
夏季オリンピックの種目で最もメダル数が多い競技は何？	陸上競技	最も多くの種目があるため、最も多くのメダルが授与されます。 
日本で最初に建設された地下鉄はどこにありますか？	東京	1927年に開業し、東京の浅草と上野の間を結びました。 
アジアで最も小さい国はどこ？	モルディブ	インド洋に浮かぶ島国で、美しいビーチで有名です。 
フランスで有名な料理「ラタトゥイユ」の主な材料は何？	野菜	ズッキーニ、ナス、トマトなどの野菜を使ったフランスの家庭料理です。 
太陽が燃えるエネルギー源は何？	核融合	水素をヘリウムに変える核融合反応により膨大なエネルギーを生み出しています。 
世界で最も古い独立国はどこ？	サンマリノ	301年に独立したとされる、小さなヨーロッパの国です。 
イタリアのヴェネツィアで有名な交通手段は何？	ゴンドラ	ヴェネツィアの運河で観光客に人気のある小舟です。 
ギリシャ神話で知識と工芸の女神の名前は何？	アテナ	知識、工芸、戦略の女神で、ギリシャ神話の主要な神々の一柱です。 
漢字で「森」は何本の木から構成されていますか？	3本	3つの木の文字が組み合わさって構成されています。 
日本の童謡『赤とんぼ』の作詞者は誰？	三木露風	三木露風が作詞し、山田耕筰が作曲した日本の童謡です。 
日本の国鳥は何？	キジ	日本の国鳥として指定されています。 
世界で最も面積が大きい国はどこ？	ロシア	世界最大の面積を持つ国で、17,098,242平方キロメートルに及びます。 
地球の表面積の約何パーセントが水で覆われていますか？	約71%	地球の表面積の約71%は海洋が占めており、残りが陸地です。 
世界で最も小さい大陸は何？	オーストラリア	世界で最も小さい大陸で、島国としても知られています。 
フランスのエッフェル塔が建設されたのは何年？	1889年	1889年のパリ万国博覧会のために建設され、今では観光名所になっています。 
人間の体で最も大きな臓器は何？	皮膚	人間の体で最も大きな臓器で、体を保護する役割を果たします。 
アメリカの独立記念日は何月何日？	7月4日	1776年の独立宣言を記念して毎年7月4日に祝われます。 
イギリスの国歌のタイトルは何？	God Save the King/Queen	王または女王を称える歌で、歴史的に重要な意味を持っています。 
元素記号「Na」は何を指しますか？	ナトリウム	アルカリ金属の一つで、食塩の主要成分として知られています。 
プラハはどこの国の首都？	チェコ	美しい建築と歴史的な文化が魅力です。 
インターネットの誕生は何年とされていますか？	1969年	1969年にARPANETの実験から始まり、通信技術の革命をもたらしました。 
スペインの闘牛士が用いる赤い布の名前は何？	ムレータ	闘牛で使われる赤い布で、牛の動きを誘導する役割があります。 
一般的に、虹は何色で構成されていますか？	7色	虹は赤、橙、黄、緑、青、藍、紫の7色で構成されています。 
ソビエト連邦の初代指導者は誰？	レーニン	ソビエト連邦の設立者で、その思想と指導力で知られています。 
アルプス山脈で最も高い山は何？	モンブラン	アルプス山脈で最も高い山で、その標高は約4,808メートルです。 
日本で一番多い苗字は何？	佐藤	日本で最も一般的な苗字で、全国に広く分布しています。 
最初に人類が月に到達したのは何年？	1969年	1969年にアポロ11号による人類初の月面着陸が成功しました。 
日本で最初の女性天皇は誰？	推古天皇	593年に即位した、日本初の女性天皇です。 
太平洋に浮かぶ有名な島国フィジーの首都は何？	スバ	フィジーの首都で、政治と経済の中心地となっています。 
ギリシャ神話でゼウスの父親は誰？	クロノス	ギリシャ神話で時間の神とされ、ゼウスを含むオリンポスの神々の父親です。 
日本の三大祭りの一つである祇園祭が開催される都市は？	京都	毎年7月に行われ、日本最大級の祭りの一つです。 
音楽の7つの音階は何と呼ばれていますか？	ド、レ、ミ、ファ、ソ、ラ、シ	西洋音楽ではドレミ音階が基礎となり、多くの楽曲に用いられています。 
『ハリー・ポッター』で、主人公が通う魔法学校の名前は何？	ホグワーツ	J.K.ローリングの『ハリー・ポッター』シリーズの主要な舞台です。 
イギリスで最も長い川の名前は何？	テムズ川	全長346kmの川で、ロンドンを中心に流れています。 
日本で1年の中で昼が最も短い日は何と呼ばれていますか？	冬至	北半球で昼が最も短い日で、太陽が南の空に最も低く位置します。 
スフィンクス像がある国はどこ？	エジプト	ギザの大ピラミッド近くに位置し、古代エジプトの象徴的なモニュメントです。 
中国の有名な建造物「万里の長城」の全長は約何km？	約21,000km	中国の歴史的な建造物で、その全長は約21,000kmにも及びます。 
『星の王子さま』を書いた作家は誰？	アントワーヌ・ド・サン＝テグジュペリ	フランスの作家サン＝テグジュペリによる児童文学の名作です。 
日本の茶道で使用される粉状の緑茶を何と呼びますか？	抹茶	茶道で用いられる伝統的な緑茶で、お湯で点てて飲むことが一般的です。 
世界で最も話者数が多い言語は何？	英語	世界中で広く使われており、第二言語としても最も普及しています。 
北極星は何という星座に属していますか？	小熊座	地球の北極を指し示す役割を果たします。 
現代オリンピックの創設者とされる人物は誰？	クーベルタン男爵	近代オリンピックの父とされ、1896年のアテネ大会の開催に尽力しました。 
日本で唯一、県名に「都」が含まれる都道府県はどこ？	東京都	日本の首都で、国内唯一「都」という名称を持つ行政区画です。 
光合成の際、植物が吸収する光の色は主に何色？	青と赤	植物は主に青と赤の光を吸収してエネルギーを生み出します。 
映画『タイタニック』が公開されたのは何年？	1997年	ジェームズ・キャメロンが監督を務めました。 
世界で最も面積が小さい国はどこ？	バチカン市国	世界で最も小さい国で、ローマ市内に位置するカトリックの中心地です。 
地球の地殻の主成分は何？	酸素とケイ素	岩石を構成する重要な元素です。 
日本で最も古い木造建築は何？	法隆寺	奈良県に位置し、世界最古の木造建築として知られています。 
地球の赤道の全長は約何km？	約40,075km	地球の円周を表しています。 
日本の最初の元号は何？	大化	645年に始まった「大化」は、大化の改新に由来します。 
世界で最も深い湖はどこ？	バイカル湖	ロシアに位置し、最深部は約1,642メートルに達します。 
最も長い動物の名前は何？	リュウグウノツカイ	深海魚で、全長は最大で10メートルを超えることもあります。 
日本にある世界遺産のうち、鹿児島県にある自然遺産は？	屋久島	1993年に世界自然遺産に登録され、その豊かな生態系で知られています。 
世界で最も人口密度が高い国はどこ？	モナコ	世界で最も人口密度が高い国で、約38,000人が2平方キロメートル未満の面積に住んでいます。 
宇宙で最初に人工衛星を打ち上げた国はどこ？	ソビエト連邦	1957年にスプートニク1号を打ち上げ、世界初の人工衛星を実現しました。 
日本の童話『桃太郎』で、桃太郎が退治するものは何？	鬼	鬼退治のために犬、猿、キジとともに旅をする有名な日本の童話の主人公です。 
最も高い建造物の名前は何？	ブルジュ・ハリファ	アラブ首長国連邦のドバイに位置し、高さ828メートルで世界一の高さを誇ります。 
世界で最も古い大学はどこ？	アル＝カラウィーン大学	モロッコのフェズに位置し、859年に設立されたとされています。 
日本で最も南に位置する島の名前は何？	沖ノ鳥島	日本の最南端に位置し、東京都小笠原村に属する小さな島です。 
最も重い陸生動物は何？	アフリカゾウ	陸生動物の中で最も重く、体重は最大で約6トンにもなります。 
世界三大料理のうち、日本食は含まれますか？	含まれない	世界三大料理はフランス料理、中華料理、トルコ料理とされます。 
地球で最も乾燥した地域はどこ？	アタカマ砂漠	南米に位置し、ほとんど降雨がない地域として知られています。 
太陽系で最も高温の惑星は何？	金星	温室効果によって非常に高温となり、表面温度は約460℃にも達します。 
現在5000円札に描かれているのは誰？	津田梅子	教育者として知られ、日本の紙幣に描かれる女性の一人です。 
世界最大の珊瑚礁は何？	グレート・バリア・リーフ	オーストラリア沿岸に位置し、世界最大の珊瑚礁です。 
日本の標高が最も高い山は何？	富士山	標高3,776メートルで、世界文化遺産にも登録されています。 
光が地球を一周するのにかかる時間はおおよそ何秒？	約0.13秒	光の速さ（30万km/s）を基に計算すると、光が地球を一周するのに約0.13秒かかります。 
日本で最も西に位置する島は何？	与那国島	沖縄県に属し、日本の最西端に位置する島です。 
人類が初めて宇宙に到達した年はいつ？	1961年	ソビエト連邦の宇宙飛行士ユーリ・ガガーリンが人類初の宇宙飛行を成功させました。 
日本の国技とされるスポーツは何？	相撲	日本の伝統的な武道で、古くから国技とされています。 
世界で最も寒い場所はどこ？	南極	東南極高原では気温が-89.2℃に達したことがあり、これは地球上で最も寒い記録です。 
二酸化炭素の化学式は何？	CO2	二酸化炭素は炭素1つと酸素2つで構成され、温室効果ガスの一つです。 
日本の最南端の県はどこ？	沖縄県	日本の最南端に位置し、美しいビーチや独自の文化で知られています。 
太陽系で最も小さい惑星は何？	水星	太陽系で最も小さい惑星で、太陽に最も近い位置にあります。 
母語として世界で最も多く話されている言語は？	中国語（普通話）	話者数が10億人を超える世界最大の母語です。 
人体で最も強い筋肉はどこ？	咬筋	噛む力を生み出す筋肉で、最も強い力を発揮します。 
エベレスト山の標高はおおよそ何メートル？	約8,848メートル	世界で最も高い山で、その標高は8,848メートルです。 
日本で最も人口が多い都市はどこ？	東京都	日本の首都で、人口が約1,400万人を超えています。 
月には大気がありますか？	ほぼない	わずかな大気（エクソスフィア）があるだけです。 
プログラミング言語「Python」の名前の由来は？	モンティ・パイソン	イギリスのコメディグループ「モンティ・パイソン」に由来しています。 
日本では、西暦を何と呼びますか？	グレゴリオ暦	正式にはグレゴリオ暦と呼ばれ、1582年に導入されました。 
電子メールを意味する「eメール」の「e」は何を意味しますか？	electronic（電子）	eメールは「electronic mail（電子メール）」の略です。 
酸素の元素記号は何？	O	地球の大気中に21%含まれています。 
最も人口の少ない国はどこ？	バチカン市国	世界で最も人口が少ない国で、約800人が居住しています。 
ヒマラヤ山脈の形成はどのように起こりましたか？	大陸の衝突	インドプレートとユーラシアプレートの衝突によって形成されました。 
